,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
15,ajah,BadoreBadore Ajah Lagos,1 beds 2 baths 2 Toilets,1,2,2,Tastefully Newly built mini flat,600000,Premium,0EPFQ,"Updated 23 Apr 2021, Added 21 Apr 2021",,"Governor's Consent
Security
POP Ceiling
24 Hours Security
Security doors
All Room Ensuit
Big Compound
C of O
1 Bedroom",Newly build Mini flat located in a secure estate interlocked compound wardrobe fitted kitchen cabinet
16,ajah,Badore Ajah Lagos,1 beds baths Toilets,1,0,0,Mini flat,700000,Premium,0EPHR,"Updated 23 Apr 2021, Added 22 Apr 2021",,1 Bedroom,"Miniflat to let.
Badore Ajah
Rent-700k
Caution-100k
Service charge-100k
Agency-10%
Legal-10%"
17,ajah,Inside an estateSangotedo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,Well Built 2 Bedroom Luxury Apartmnt with nice fittings(just two people in the compound),800000,Premium,9EPKN,Added 23 Apr 2021,,2 Bedroom,"2 bed with 2 toilets
Rent:800k
Agency 80k
Legal 80k
Caution 80k
Total package 1m 40k"
18,ajah,Mobile roadIlaje Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 bedroom apartment,1400000,Premium,0ENDF,"Updated 23 Apr 2021, Added 08 Apr 2021",,3 Bedroom,"3 bedroom in a secure environment gated close , Good road, good power supply and wate

Rent#1.3
Agreement...#130k
Agency...#130k
Caution fee..#130k
Total..#1.690m"
19,ajah,Sangotedo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,A room self contain,250000,Premium,2EPKJ,Added 23 Apr 2021,Furnished,"1 Bedrooms
Furnished",A room self contain for rent at sunview estate songotedo very close to express 250k per anum
20,ajah,"General Paint Bustop,Ajiwe Ajah Lagos",4 beds 4 baths 5 Toilets,4,4,5,Luxury 4bedroom terraced duplex,3000000,Premium,7EPJH,Added 22 Apr 2021,Furnished Serviced,"4 Bedrooms
Serviced
Furnished","_FOR LETTING_
4 Bedroom Terrace Duplex @General Paint Bus Stop, Ajiwe, Lekki- Ajah beside Abraham Adesanya Estate- #3Million/Annum, Service Charge: #420K/Annum."
21,ajah,..Lakowe Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,A room self contained,250000,Premium,2EPHH,Added 22 Apr 2021,Furnished Newly Built,"1 Bedrooms
New
Furnished",A room self contain for rent at eputu London very close to express 250k per anum total package 350k
22,ajah,Badore Ajah Lagos,4 beds 5 baths 5 Toilets,4,5,5,4 Bedroom Semi Detached Duplex,3000000,Premium,3EPGS,Added 22 Apr 2021,Newly Built,"4 Bedrooms
New","TO LET

Spacious and very well finished 4 bedroom semi detached duplex with a fitted kitchen and a room staff quarters.

Location ??Ajah Lekki

Rent??N3M ----————————————————————————

Call ??[redacted]
for more ENQUIRIES."
23,ajah,LABORA Palmbay EstateAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Miniflat with nice fittings,270000,Premium,3EPGQ,Added 22 Apr 2021,,1 Bedroom,"Agency N40k
Legal 30k
Caution N20k"
24,ajah,Abijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,Room and parlour,350000,Premium,8EPFZ,Added 21 Apr 2021,Furnished Newly Built,"1 Bedrooms
New
Furnished",Room and parlour duplex for rent at Abijo very close to express 350k per anum total package 450k
25,ajah,peaceland Estate Ogunbo town through Abraham Adesuya EstateOgombo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,Room and Parlor self Contain Very nice space,400000,Premium,8EGGL,"Updated 21 Apr 2021, Added 04 Feb 2021",,1 Bedroom,TO LET Room and Parlor self Contain Flat at Ogunbo town Through Abraham Adesuya Estate... Rent 400k total package 520k
26,ajah,Thomas Estate ajahThomas Estate Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,4 bedrooms semi detached duplex,3000000,Premium,8EPEV,"Updated 21 Apr 2021, Added 21 Apr 2021",Newly Built,"4 Bedrooms
New","Newly built and well finished 4 bedrooms semi detached duplex, all rooms ensuite"
27,ajah,"Dominion Estate,Olokonla Ajah Lagos",4 beds 5 baths 6 Toilets,4,5,6,Luxury 4 Bedroom Semi Detached Duplex,1700000,Premium,0EPEY,Added 21 Apr 2021,,"Boys Quater
Security
POP Ceiling
Street Lights
Parking Space
24 Hours Security
All Room Ensuit
Big Compound
4 Bedroom","Rent = 1.7M
Agency = 10%
Legal = 10%
Caution = 100k
*Self Serviced"
28,ajah,Lekki Scheme IIOkun Ajah Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Newly Built and Well finished 3 Bedroom Flats with Pent house,2000000,Premium,0EEKJ,"Updated 21 Apr 2021, Added 13 Jan 2021",Newly Built,"3 Bedrooms
New","Newly built and tastefully finished 3 bedroom flat with Penthouse

State of the art finishing
Exotic POP designs
Guest toilet
Large living room
Dining area
Argue kitchen with pantry
3 large rooms with closets
Pent house
Gate house
Generator house
Security fencing
Security light
Ample parking space
Serene neighborhood
Water treatment plant
Inspection Monday to Sunday
Only 2 units left"
29,ajah,MajekSangotedo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,2 bedroom flat,1100000,Premium,0ENX,"Updated 21 Apr 2021, Added 17 Apr 2021",Furnished Newly Built,"2 Bedrooms
New
Furnished",2 bedroom flat for rent at majek songotedo Ajah 1.1m per anum total package 1.550m
30,ajah,  Lekki Phase 1 Lekki Lagos,3 beds 3 baths 4 Toilets,3,3,4,Newly Luxury 3 Bedroom in Lekki Phase One,,Sponsored,5EGFF,"Updated 20 Apr 2021, Added 03 Feb 2021",Furnished,"3 Bedrooms
Furnished",3 bedroom Self Contain Flat / Apartment for shortlet Lekki Phase 1 Lekki Lagos with Snooker Board And Sea View
31,ajah,Majek first gateSangotedo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Luxury all rooms en-suite 2 bedroom flat,650000,Premium,9ENYY,"Updated 21 Apr 2021, Added 18 Apr 2021",,2 Bedroom,"2 bedrooms classic luxury in a gated community estate in a serene quiet environment with stable power supply and clean water

NOTE: DOWNSTAIRS AVAILABLE


Proudly Marketed By WHITEBRONZE INVESTMENT LTD RC 1192624
For inspection and more clarification please Contact WHITEBRONZE INVESTMENT LTD ON
Email:[redacted]
Website: www.whitebronzeinvestment.com"
32,ajah,"HI LIFE Estate, Lekki Garden Phase 5 RoadAbraham Adesanya Estate Ajah Lagos",4 beds 4 baths 5 Toilets,4,4,5,Newly Built 4 Bedroom Duplex in a lovely Environment,2300000,Premium,0EMHN,"Updated 21 Apr 2021, Added 30 Mar 2021",Newly Built,"POP Ceiling
Parking Space
24 Hours Security
All Room Ensuit
4 Bedrooms
New","Newly Built 4 Bedroom Semi-Duplex;

Location: HI LIFE Estate, Lekki Garden Phase 5

Price: N2.3 Million
Service Charge: N480K
Caution Fee: N100K
Legal: N230K
Commission: N230K

Features:
All Rooms en-suite
Fitted Kitchen
24hours Security"
33,ajah,pearl gardens estate Sangotedo Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,4 bedroom duplex,2000000,Premium,1EPDZ,Added 21 Apr 2021,Serviced,"4 Bedrooms
Serviced","4bedroom duplex at pearl gardens Estate
Rent 2M
Legal 5%
Agency 10%
Caution 200k
Service charge 240"
34,ajah,LbsOlokonla Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom flat,1700000,Premium,2EPDY,Added 21 Apr 2021,Furnished Newly Built,"3 Bedrooms
New
Furnished",3 bedroom flat for rent at Lagos business school ajah 1.7m per anum
35,ajah,Facing Ado Road Ado Ajah Lagos,beds baths Toilets,0,0,0,40sqm Shop Facing Ado Road Good for Pharmacy,850000,Premium,6ENQR,"Updated 21 Apr 2021, Added 14 Apr 2021",,,"Now Available For Rent

A 40sqm shop facing Ado road
Spacious and good for selling
On First floor
Good for pharmacy
Rent: ?850,000 - net

For inspection call or whatsapp our number"
36,ajah,Mobil estateIlaje Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,Executive luxury mini flat with 2 toilets,850000,Premium,7EGWV,"Updated 21 Apr 2021, Added 11 Feb 2021",Newly Built,"1 Bedrooms
New","Self services Executive Mini Flats with two toilets and Ensuite Master bedroom in a gated and secured Estate .
Location- Mobil Estate Road,Ilaje,Ajah.

Rent- N850k
Agency- N85k
Legal- N85m
Utilities - N50k
Refundable Caution fee- N50k

Proudly Marketed By WHITEBRONZE INVESTMENT LTD RC 1192624
For inspection and more clarification please Contact WHITEBRONZE INVESTMENT LTD ON
Email:[redacted]
Website: www.whitebronzeinvestment.com"
37,ajah,Off Mobil RoadIlaje Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Self-contained,350000,Premium,1EKCG,"Updated 21 Apr 2021, Added 06 Mar 2021",,1 Bedroom,"Nice bq with a kitchen
Rent 350
Legal 50
Agency 50
Caution 50"
38,ajah,Ogombo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Newly built Miniflat,650000,Premium,6ELLL,"Updated 21 Apr 2021, Added 20 Mar 2021",,1 Bedroom,"To Let
Newly built miniflat
Price : 650k up
Downstairs: 600k
Caution fee 50k
Agency x agreement 10%each
Location ogombo


C.D

FOR FURTHER INQUIRIES KINDLY SEND A SCREENSHOT OF THE PROPERTY TO OUR WHATSAPP LINE PROVIDED BELOW.
PLEASE GIVE US 12 HRS NOTICE FOR INSPECTION BOOKING."
39,ajah,Mobil roadIlaje Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,A brand new 3 bedroom flat,1500000,Premium,1EKUT,"Updated 21 Apr 2021, Added 13 Mar 2021",Newly Built,"3 Bedrooms
New","Brand new 3 bedroom flat . All rooms ensuite with wardrobes, water heaters, spacious kitchen with cabinets.
Rent : 1.5m
Agency : 150k
Agreement: 150k
Caution : 200k
Total package :.2m"
40,ajah,Destiny Homes EstateAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,A lovely 3 bedroom flat,900000,Premium,9ENK,"Updated 21 Apr 2021, Added 12 Apr 2021",,"POP Ceiling
Parking Space
24 Hours Security
All Room Ensuit
Big Compound
3 Bedroom","3 Bedroom Flat (ground floor)
Location: Destiny Homes, Abijo.
Rent: N900k/annum
SC: N150k/annum
Caution: N150k
Agency: 10% (N90k)
Agreement: 10% (N90k)

Total Package: N1,380,000"
41,ajah,Ogombo Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2,Two bedroom apartment,650000,Premium,8ENGU,"Updated 21 Apr 2021, Added 10 Apr 2021",,2 Bedroom,"Two bedroom apartment
Rent 650k
Caution fee 50k
Service charge 50k
Agency x agreement 10%each
Location sangotedo/ogombo

CD"
42,ajah,Facing Ado Road Ado Ajah Lagos,beds baths Toilets,0,0,0,40sqm Shop Facing Ado Road Good for Pharmacy,850000,Premium,6ENQR,"Updated 21 Apr 2021, Added 14 Apr 2021",,,"Now Available For Rent

A 40sqm shop facing Ado road
Spacious and good for selling
On First floor
Good for pharmacy
Rent: ?850,000 - net

For inspection call or whatsapp our number"
43,ajah,Mobil estateIlaje Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,Executive luxury mini flat with 2 toilets,850000,Premium,7EGWV,"Updated 21 Apr 2021, Added 11 Feb 2021",Newly Built,"1 Bedrooms
New","Self services Executive Mini Flats with two toilets and Ensuite Master bedroom in a gated and secured Estate .
Location- Mobil Estate Road,Ilaje,Ajah.

Rent- N850k
Agency- N85k
Legal- N85m
Utilities - N50k
Refundable Caution fee- N50k

Proudly Marketed By WHITEBRONZE INVESTMENT LTD RC 1192624
For inspection and more clarification please Contact WHITEBRONZE INVESTMENT LTD ON
Email:[redacted]
Website: www.whitebronzeinvestment.com"
44,ajah,Off Mobil RoadIlaje Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Self-contained,350000,Premium,1EKCG,"Updated 21 Apr 2021, Added 06 Mar 2021",,1 Bedroom,"Nice bq with a kitchen
Rent 350
Legal 50
Agency 50
Caution 50"
45,ajah,Ogombo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Newly built Miniflat,650000,Premium,6ELLL,"Updated 21 Apr 2021, Added 20 Mar 2021",,1 Bedroom,"To Let
Newly built miniflat
Price : 650k up
Downstairs: 600k
Caution fee 50k
Agency x agreement 10%each
Location ogombo


C.D

FOR FURTHER INQUIRIES KINDLY SEND A SCREENSHOT OF THE PROPERTY TO OUR WHATSAPP LINE PROVIDED BELOW.
PLEASE GIVE US 12 HRS NOTICE FOR INSPECTION BOOKING."
46,ajah,Mobil roadIlaje Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,A brand new 3 bedroom flat,1500000,Premium,1EKUT,"Updated 21 Apr 2021, Added 13 Mar 2021",Newly Built,"3 Bedrooms
New","Brand new 3 bedroom flat . All rooms ensuite with wardrobes, water heaters, spacious kitchen with cabinets.
Rent : 1.5m
Agency : 150k
Agreement: 150k
Caution : 200k
Total package :.2m"
47,ajah,Destiny Homes EstateAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,A lovely 3 bedroom flat,900000,Premium,9ENK,"Updated 21 Apr 2021, Added 12 Apr 2021",,"POP Ceiling
Parking Space
24 Hours Security
All Room Ensuit
Big Compound
3 Bedroom","3 Bedroom Flat (ground floor)
Location: Destiny Homes, Abijo.
Rent: N900k/annum
SC: N150k/annum
Caution: N150k
Agency: 10% (N90k)
Agreement: 10% (N90k)

Total Package: N1,380,000"
48,ajah,Ogombo Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2,Two bedroom apartment,650000,Premium,8ENGU,"Updated 21 Apr 2021, Added 10 Apr 2021",,2 Bedroom,"Two bedroom apartment
Rent 650k
Caution fee 50k
Service charge 50k
Agency x agreement 10%each
Location sangotedo/ogombo

CD"
49,ajah,Sangotedo Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2,Newly built two bedroom apartment,900000,Premium,5ENGK,"Updated 21 Apr 2021, Added 10 Apr 2021",,2 Bedroom,"Newly built two bedroom apartment
Rent 900k
Caution fee 100k
Service charge 100k
Agency x agreement 10%each
Location sangotedo /thera annex

CD"
50,ajah,Destiny Homes EstateAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,A lovely 3 bedroom flat,900000,Premium,7ENKE,"Updated 21 Apr 2021, Added 12 Apr 2021",,"POP Ceiling
Parking Space
All Room Ensuit
Big Compound
3 Bedroom","3 Bedroom Flat (ground floor)
Location: Destiny Homes, Abijo.
Rent: N900k/annum
SC: N150k/annum
Caution: N150k
Agency: 10% (N90k)
Agreement: 10% (N90k)

Total Package: N1,380,000"
51,ajah,"Mekunwen Road, Brains And Hammers Estate, Life Camp Abuja",4 beds 4 baths 5 Toilets,4,4,5,Luxury Furnished 4 Bedroom Semi-Detached duplex,,Sponsored,2DVDW,"Updated 22 Apr 2021, Added 08 Sep 2020",Newly Built Furnished Serviced,"WiFi
Swimming Pool
24 Hours Security
Street Lights
Parking Space
Supermarket Nearby
Mosques Nearby
Restaurants Nearby
Big Compound
Gym
Security doors
All Room Ensuit
POP Ceiling
24 hours Electricity
Church Nearby
Security
Drainage System
CCTV Cameras
Child Care
Fast Internet
Children Play Ground
4 Bedrooms
Furnished
New
Serviced","A beautiful 4 bedroom apartment with all en-suite private rooms, with 2 living room and a kitchen available for guests use. Apartment is in the centre of Abuja close to banks, Malls, shopping complex. It’s at a no distance from all key areas of the metropolis, with excellent designed walks around environment, with access to Gym, swimming pool, kid's playground, football pitch, free parking space.

The space
The 4 bedroom semi-detached duplex all in suit is fitted with all essentials you need in a home, pure white walls and colourful accents, equipped with well maintained and quality services ranging from kitchen amenities, Washing machine, Water heater, Air conditioner, cozy bedrooms, 24 hrs Wifi, Tv, DSTV and explicable amenities.

Guest access
Guests have full access to the house and its amenities which includes;

- 24 Hours Security
- 24 Hours of Electricity
- 2 Private Balcony
- Private Parking for 2 Vehicle
- Private and General Gym
- General Swimming Pool
- Playground for Kids
- Available Mini Football Peach
- Green Area Landmark
- Panoramic View"
52,ajah,Off Mobil road after Vgc b4 Ajah bridge Ilaje Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,Newly built &spacious One bedroom flat off Mobil road,1000000,Premium,5EMQE,"Updated 21 Apr 2021, Added 02 Apr 2021",Newly Built,"1 Bedrooms
New",For inspection pls call [redacted]/[redacted]
53,ajah,"Sunshine Garden Estate, Off Blenco Supermarket Ajah Lagos",1 beds 1 baths 2 Toilets,1,1,2,Newly Built Luxury Mini Flats with Excellent Finishing,900000,Premium,6ELSZ,"Updated 21 Apr 2021, Added 23 Mar 2021",Newly Built,"POP Ceiling
Security
Street Lights
Parking Space
24 Hours Security
Security doors
All Room Ensuit
Big Compound
1 Bedrooms
New","Rent = 900k
Agency = 10%
Legal = 10%
Caution = 100k"
54,ajah,mobil road Ilaje Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,A lovely newly built mini flat,1500000,Premium,6EJRG,"Updated 21 Apr 2021, Added 02 Mar 2021",Newly Built,"POP Ceiling
Parking Space
24 Hours Security
CCTV Cameras
All Room Ensuit
Big Compound
1 Bedrooms
New","A lovely newly built mini flat 12 hrs light
Security
Water treatment
Cleaning of compound
Lawma
1.5m rent
Agency 150k
Agreement 150k
Service charge 200k
Caution 50k

real video available
total package:2,050,000"
55,ajah,"Off Blenco Supermarket, Opposite Sky Mall, Sangotedo, Peninsula Estate Ajah Lagos",3 beds 3 baths 4 Toilets,3,3,4,Luxury 3 Bedroom Flats in a Serene Neighbourhood,1300000,Premium,8EFWK,"Updated 21 Apr 2021, Added 30 Jan 2021",,"Security
POP Ceiling
Water Treatment
Street Lights
Parking Space
24 Hours Security
Security doors
All Room Ensuit
Big Compound
3 Bedroom","Rent = 1.3M Agency = 10% Legal = 10% Caution Fee = 100k Service Charge = 120k Total Package = 1,780,000"
56,ajah,"Majek, Opposite Fara Park,Ajah Lagos",3 beds 3 baths 4 Toilets,3,3,4,Newly Built Luxury 3 Bedroom Flats in a Serene Neighbourhood,1300000,Premium,6EKBV,"Updated 21 Apr 2021, Added 05 Mar 2021",Newly Built,"POP Ceiling
Security
Street Lights
Parking Space
24 Hours Security
Security doors
All Room Ensuit
Big Compound
3 Bedrooms
New","Rent = 1.3M
Agency = 10%
Legal = 10%
Caution = 100k"
57,ajah,Hi life estateAbraham Adesanya Estate Ajah Lagos,4 beds 4 baths 4 Toilets,4,4,4,Newly built 4 bedroom Terrace duplex,2500000,Premium,0EMG,"Updated 21 Apr 2021, Added 29 Mar 2021",Furnished Serviced Newly Built,"4 Bedrooms
New
Serviced
Furnished","Newly built 4bed room terrace duplex pop ceiling all round tiles kitchen cabinets and well fitted kitchen and interlocking compound and well secured and developed environment at hi life est Abraham adesanya round about lekki ajah Lagos and the area is associated with good roads constant supply of electricity and good drinking water and much more call or whatsapp me on [redacted] it's my hotline whenever am offline thanks Tony attah real estate agent

Facilities:
quality finishing pop ceiling all round tiles kitchen cabinets and wardrobe and interlocking compound"
58,ajah,Sangotedo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom Apartment,2500000,Premium,8ELFT,"Updated 21 Apr 2021, Added 18 Mar 2021",,3 Bedroom,"Three bedroom apartment
Rent 2.5m
Caution fee 100k
Self service
Agency x agreement 10%each
Location sangotedo blenco

C.D

FOR FURTHER INQUIRIES KINDLY SEND A SCREENSHOT OF THE PROPERTY TO OUR WHATSAPP LINE PROVIDED BELOW.
PLEASE GIVE US 12 HRS NOTICE FOR INSPECTION BOOKING."
